10,10,0.0001,0.5,0.3,0.5,0.5,0.5,
20,10,0.0001,0.5,0.3,0.5,0.5,0.5,
30,10,0.0001,0.5,0.3,0.5,0.5,0.5,
40,10,0.0001,0.5,0.3,0.5,0.5,0.5,
50,10,0.0001,0.5,0.3,0.5,0.5,0.5,
60,10,0.0001,0.5,0.3,0.5,0.5,0.5,
70,10,0.0001,0.5,0.3,0.5,0.5,0.5,
80,10,0.0001,0.5,0.3,0.5,0.5,0.5,
90,10,0.0001,0.5,0.3,0.5,0.5,0.5,
100,10,0.0001,0.5,0.3,0.5,0.5,0.5,
110,10,0.0001,0.5,0.3,0.5,0.5,0.5,
120,10,0.0001,0.5,0.3,0.5,0.5,0.5,
130,10,0.0001,0.5,0.3,0.5,0.5,0.5,
140,10,0.0001,0.5,0.3,0.5,0.5,0.5,
150,10,0.0001,0.5,0.3,0.5,0.5,0.5,
160,10,0.0001,0.5,0.3,0.5,0.5,0.5,
170,10,0.0001,0.5,0.3,0.5,0.5,0.5,
180,10,0.0001,0.5,0.3,0.5,0.5,0.5,
190,10,0.0001,0.5,0.3,0.5,0.5,0.5,
200,10,0.0001,0.5,0.3,0.5,0.5,0.5,
